chunk_id,document_title,chunk_index,old_summary_preview,new_summary_preview,status
doc_5abb6df9-16a0-4199-b35b-29be6678baef_5,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,5,"This document, dated March 3, 2026, lists registration numbers for the Diploma T",Dokumen ini berisi daftar nomor pendaftaran untuk PRODI REKAM MEDIS DAN INFORMAS,fixed
doc_8d8bf084-6109-4390-ae5f-18102bdaedcb_2,Tata Tertib Ujian CBT SPMB Mandiri Reguler SMA 2026,2,"Violations of exam rules will be recorded in the Exam Implementation Report, and","Pelanggaran tata tertib akan dicatat pada Berita Acara Pelaksanaan Ujian, dan pe",fixed
doc_ffd60520-51f6-4c3b-b19d-76024504809c_0,Form Uji Kesehatan SPMB (Gunakan Form yang Ini),0,This document is a Health Examination Form for New Student Admissions to the Min,Dokumen ini adalah formulir pemeriksaan kesehatan untuk seleksi penerimaan mahas,fixed
doc_5abb6df9-16a0-4199-b35b-29be6678baef_4,Hasil Seleksi Tahap II SPMB Jalur Prestasi 2026,4,"This announcement, dated Yogyakarta, March 3, 2026, from Dr. Iswanto, Director o",Peserta harus menunjukkan KTP untuk verifikasi. Kecurangan tidak akan ditolerir ,fixed
doc_19bdfd50-b238-4391-a671-7b3157800816_0,Hasil Seleksi SPMB Mandiri RPL Tahap II 2026,0,"This announcement, dated March 6, 2026, declares the results of the Independent ",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi penerimaan mahasiswa ,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_3,Hasil Seleksi Tahap III SPMB Prestasi 2026,3,"This document, dated Yogyakarta, March 10, 2026, and signed by Dr. Iswanto, S.Pd","Dokumen ini ditandatangani di Yogyakarta pada 10 Maret 2026 oleh Dr. Iswanto, S.",fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_0,Hasil Seleksi Tahap III SPMB Prestasi 2026,0,"This announcement, dated March 9, 2026, declares the final selection results for",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi tahap III (akhir) SPM,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_2,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,2,Applicants to Poltekkes Kemenkes Yogyakarta must submit scanned original documen,Dokumen ini berisi persyaratan berkas pendaftaran yang meliputi scan asli surat ,fixed
doc_19bdfd50-b238-4391-a671-7b3157800816_1,Hasil Seleksi SPMB Mandiri RPL Tahap II 2026,1,Applicants who passed Stage II (UTAMA and CADANGAN) can join WhatsApp groups for,Peserta diminta mengisi tautan pendukung bukti portofolio untuk pengakuan capaia,fixed
doc_19bdfd50-b238-4391-a671-7b3157800816_2,Hasil Seleksi SPMB Mandiri RPL Tahap II 2026,2,"On March 6, 2026, in Yogyakarta, Dr. Iswanto, S.Pd, M.Kes, Director of Politekni",Berikut adalah daftar pendaftar cadangan untuk PRODI TEKNOLOGI LABORATORIUM MEDI,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_1,Hasil Seleksi Tahap III SPMB Prestasi 2026,1,Prospective students must complete their uniform and lab coat measurements and u,Calon mahasiswa wajib melengkapi data ukuran jas (almamater dan laboratorium) se,fixed
doc_3b3a043b-43b8-45d8-ad78-167f19d977c6_0,visual_chunk_test_v2.pdf,0,"This document, ""Panduan Alur Pendaftaran SPMB Jalur Mandiri (Revisi 2),"" briefly","Dokumen ini menjelaskan tahapan pendaftaran SPMB jalur mandiri secara ringkas, d",fixed
doc_70128774-a376-4e96-8dee-b17adc7b2ef8_0,panduan_spmb_test2.html,0,The SOP for New Student Re-registration for 2026 requires new students to comple,SOP Registrasi Ulang Mahasiswa Baru 2026 menjelaskan bahwa mahasiswa baru wajib ,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_4,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,4,"This document outlines uniform costs for various programs, including D.III Gizi ","Berikut adalah rincian biaya seragam, SPP/UKT, dan total untuk berbagai jurusan ",fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_11,Hasil Seleksi Tahap III SPMB Prestasi 2026,11,This document contains several forms and statements related to a student applyin,"Bagian dokumen ini berisi formulir data wali yang mencakup nama, tanggal lahir, ",fixed
doc_6255b91a-c264-4822-8bf0-942834d397a2_0,Hasil Seleksi Tahap III SPMB Profesi 2026,0,"This announcement, dated April 10, 2026, declares the final selection results fo",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi tahap III (akhir) SPM,fixed
doc_6255b91a-c264-4822-8bf0-942834d397a2_1,Hasil Seleksi Tahap III SPMB Profesi 2026,1,This document outlines the re-registration process for new students at Poltekkes,Dokumen ini memuat informasi mengenai pelaporan gratifikasi melalui HALO KEMENKE,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_9,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,9,This document chunk outlines the academic year 2026/2027 registration requiremen,Dokumen ini berisi formulir pendaftaran untuk Tahun Akademik 2026/2027 yang menc,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_10,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,10,This document is a statement of commitment for male students enrolling at Poltek,Dokumen ini berisi surat pernyataan yang dibuat oleh calon mahasiswa laki-laki P,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_9,Hasil Seleksi Tahap III SPMB Prestasi 2026,9,"This document, dated March 10, 2026, from Yogyakarta, lists registration numbers",Dokumen ini berisi daftar nomor pendaftaran untuk beberapa program studi sarjana,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_2,Hasil Seleksi Tahap III SPMB Prestasi 2026,2,Applicants must submit scanned original documents including a parental consent l,Dokumen ini berisi persyaratan berkas pendaftaran berupa scan asli surat kesangg,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_13,Hasil Seleksi Tahap III SPMB Prestasi 2026,13,This document is a parental/guardian consent form for a prospective student appl,Surat pernyataan ini dibuat oleh orang tua/wali calon mahasiswa yang berisi iden,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_7,Hasil Seleksi Tahap III SPMB Prestasi 2026,7,"This document, dated March 10, 2026, contains lists of registration numbers for ",Dokumen ini berisi daftar nomor pendaftaran untuk Program Diploma Tiga di Polite,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_6,Hasil Seleksi Tahap III SPMB Prestasi 2026,6,"This document outlines the total payment for uniform fees, UKT, and dormitory co",Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektr,fixed
doc_603f540c-e34c-418c-8595-b7ad45937431_8,Hasil Seleksi Tahap III SPMB Prestasi 2026,8,"This document, dated March 10, 2026, from Yogyakarta, lists registration numbers",Dokumen ini berisi daftar nomor pendaftaran untuk beberapa program studi di Poli,fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_8,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,8,"This document, dated April 6, 2026, from Yogyakarta, lists registration numbers ",Dokumen ini berisi daftar nomor pendaftaran untuk PRODI KESEHATAN GIGI PROGRAM D,fixed
doc_6255b91a-c264-4822-8bf0-942834d397a2_6,Hasil Seleksi Tahap III SPMB Profesi 2026,6,This document is a declaration of willingness from a parent/guardian of a prospe,Dokumen ini berisi surat pernyataan kesediaan membayar Uang Kuliah Tunggal (UKT),fixed
doc_acd7335a-936e-4875-9fa0-179bac1d0130_6,Hasil Tahap III Pemanggilan Cadangan SPMB Prestasi Tahun Akademik 2026-2027,6,"This document, electronically signed by Iswanto, S.Pd, M.Kes, Director of Polite","Dokumen ini ditandatangani secara elektronik oleh Dr. Iswanto, S.Pd, M.Kes, Dire",fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_4,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,4,"This document, dated March 16, 2026, from Yogyakarta, lists registration numbers",Dokumen ini berisi daftar nomor pendaftaran untuk beberapa program studi di Poli,fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_3,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,3,"This document, dated March 16, 2026, outlines requirements for a test administer",Dokumen ini berisi pengumuman tahap II SPMB Prestasi untuk Prodi Teknologi Labor,fixed
doc_398b0667-dcf2-4c7c-9ea8-d4fbaec70842_5,Pengumuman Pemanggilan Cadangan I  SPMB Prestasi 2026,5,"This document, dated March 16, 2026, from Dr. Iswanto, S.Pd, M.Kes, Director of ",Dokumen ini berisi daftar nomor pendaftaran untuk Prodi Sanitasi Program Diploma,fixed
doc_6255b91a-c264-4822-8bf0-942834d397a2_4,Hasil Seleksi Tahap III SPMB Profesi 2026,4,"This document, dated April 11, 2026, from Dr. Iswanto, S.Pd, M.Kes, Director of ",Dokumen ini berisi berkas daftar ulang mahasiswa baru Politeknik Kesehatan Yogya,fixed
doc_14662927-7fcc-493d-8eea-78eccbb492ec_1,2141 Pengumuman Pemanggilan Cadangan ke 2 SPMB Prestasi TA 2026-2027,1,The Prodi Keperawatan Program Diploma Tiga applicants must complete a written in,Program Studi Keperawatan Program Diploma Tiga wajib mengikuti wawancara tertuli,fixed
doc_14662927-7fcc-493d-8eea-78eccbb492ec_2,2141 Pengumuman Pemanggilan Cadangan ke 2 SPMB Prestasi TA 2026-2027,2,This document chunk is part of a new student application for Poltekkes Kemenkes ,Dokumen ini berisi kuesioner wawancara tertulis dan formulir pemeriksaan kesehat,fixed
doc_6255b91a-c264-4822-8bf0-942834d397a2_5,Hasil Seleksi Tahap III SPMB Profesi 2026,5,"This document contains two statements of declaration, both electronically signed",Dokumen ini berisi tiga surat pernyataan. Surat pernyataan pertama adalah Surat ,fixed
doc_14662927-7fcc-493d-8eea-78eccbb492ec_0,2141 Pengumuman Pemanggilan Cadangan ke 2 SPMB Prestasi TA 2026-2027,0,"This announcement, dated April 14, 2026, calls for reserve candidates for the 20",Berdasarkan rapat nominasi Panitia SPMB Poltekkes Kemenkes Yogyakarta pada Selas,fixed
doc_6255b91a-c264-4822-8bf0-942834d397a2_2,Hasil Seleksi Tahap III SPMB Profesi 2026,2,This document outlines the programs and academic calendar for Poltekkes Kemenkes,Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektr,fixed
doc_0462b9ac-9b30-4be6-a166-a3b390b64750_0,PELAKSANAAN UJIAN CBT SPMB MANDIRI PROGRAM STUDI SARJANA TERAPAN (RPL) POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 20262027 (GEL 2),0,An announcement (Number KH.01.01/F.XIX/2436/2026) details the Computer-Based Tes,Pengumuman Nomor KH.01.01/F.XIX/2436/2026 ini menginformasikan pelaksanaan Ujian,fixed
doc_cb6520ee-3cc7-4946-8e55-6a21db96fa17_0,PENGUMUMAN HASIL KONVERSI-ASSESMENT SPMB JALUR MANDIRI PROGRAM STUDI SARJANA TERAPAN (RPL) POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,This announcement (Number: KH.01.01/F.XIX/2480/2026) details the conversion/asse,"Berdasarkan PENGUMUMAN NOMOR : KH.01.01/F.XIX/2480/2026, hasil konversi/asesmen ",fixed
doc_1e680390-cceb-4078-aeb9-15207e810eb7_1,2563 PENGUMUMAN TAHAP II SPMB MANDIRI RPL GELOMBANG 2 TA 2026-2027,1,Participants who pass Stage II (UTAMA) can join WhatsApp groups for their chosen,Peserta yang lulus tahap II (Lulus UTAMA) dapat bergabung melalui tautan grup WA,fixed
doc_ca62ca5a-21a4-46e1-99e9-27367d7c6a53_0,2709 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,"This announcement, dated May 6, 2025, declares the results of the third stage of",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi SPMB Tahap III Jalur ,fixed
doc_1e680390-cceb-4078-aeb9-15207e810eb7_0,2563 PENGUMUMAN TAHAP II SPMB MANDIRI RPL GELOMBANG 2 TA 2026-2027,0,"This announcement, dated April 30, 2026, declares the results of the Independent",Berdasarkan rapat nominasi Panitia SPMB Poltekkes Kemenkes Yogyakarta pada Kamis,fixed
doc_ca62ca5a-21a4-46e1-99e9-27367d7c6a53_1,2709 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,1,Participants must undergo a physical health examination at an authorized facilit,"Pemeriksaan kesehatan fisik dapat dilakukan di Puskesmas, RS Pemerintah, RS Swas",fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_3,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,3,The document outlines competency test schedules for various programs at Poltekke,Pengumuman ini merinci jadwal dan ketentuan pelaksanaan *Competency Test of Engl,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_0,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,0,"This announcement, numbered ${nomor_naskah}, details the registration and health",Pengumuman Nomor: ${nomor_naskah} ini berisi ketentuan pendaftaran dan pelaksana,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_2,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,2,"Participants for the Nursing Program must join the WA Group ""Wawancara_Keperawat",Peserta wawancara keperawatan bergabung melalui tautan WA Group: Wawancara_Keper,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_5,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,5,This document details a health examination checklist covering various body parts,"Dokumen ini berisi daftar pemeriksaan kesehatan yang mencakup tangan, kaki, mata",fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_1,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,1,"For health tests, participants must submit an original payment receipt, a 3x4 cm",Peserta yang LULUS UTAMA dari luar wilayah Jawa dapat melakukan uji kesehatan di,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_0,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,"This announcement, dated June 3, 2026, declares the results of the Stage IV Inde",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi tahap IV SPMB Mandiri,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_2,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,2,This document outlines the programs and academic calendar for Poltekkes Kemenkes,Dokumen ini berisi informasi mengenai program studi di Poltekkes Kemenkes Yogyak,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_11,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,11,"This document chunk lists participant numbers from 19 to 100, with corresponding",Dokumen ini berisi daftar Nomor Peserta untuk PRODI SANITASI LINGKUNGAN PROGRAM ,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_4,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,4,This document is a written interview form for prospective new students of the Nu,Dokumen ini berisi Formulir Wawancara Tertulis Calon Mahasiswa Baru Jurusan Kepe,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_9,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,9,"This document, dated May 1, 2026, from Yogyakarta, lists 61 participant numbers ",Dokumen ini berisi daftar Nomor Peserta yang dinyatakan LULUS UTAMA untuk PRODI ,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_8,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,8,"This document lists ""LULUS UTAMA"" (main graduates) with participant numbers rang",Berikut adalah daftar nomor peserta yang LULUS UTAMA: - 71: 2640501500001711 - 7,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_6,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,6,This document is a Statement of Willingness to Pay Single Tuition Fees (UKT) for,Dokumen ini berisi Surat Pernyataan Kesediaan Membayar Uang Kuliah Tunggal yang ,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_5,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,5,"This document contains two ""SURAT PERNYATAAN"" (Statement Letters), one for femal",Dokumen ini berisi dua lampiran surat pernyataan yang ditandatangani secara elek,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_1,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,1,The Ministry of Health does not accept bribes or gratifications and can be repor,Dokumen ini berisi informasi mengenai syarat dan tata cara daftar ulang calon ma,fixed
doc_523e7f9a-8d7c-4c8c-8594-cde0c75640e8_2,3504 PENGUMUMAN PEMANGGILAN CADANGAN 3 SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,2,"If conditions are met, reserve participants for health tests will be called on J","Apabila syarat tidak terpenuhi, pemanggilan peserta uji kesehatan dari peserta c",fixed
doc_523e7f9a-8d7c-4c8c-8594-cde0c75640e8_0,3504 PENGUMUMAN PEMANGGILAN CADANGAN 3 SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,"This announcement, dated June 9, 2026, is a reserve selection notification for t",Berdasarkan rapat nominasi Panitia SPMB Poltekkes Kemenkes Yogyakarta pada 9 Jun,fixed
doc_523e7f9a-8d7c-4c8c-8594-cde0c75640e8_1,3504 PENGUMUMAN PEMANGGILAN CADANGAN 3 SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,1,Participants undergoing health tests in their respective areas are exempt from p,Peserta yang akan melakukan uji kesehatan di daerah masing-masing tidak perlu me,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_4,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,4,Prospective new students for Poltekkes Kemenkes Yogyakarta for the 2026/2027 aca,Dokumen ini menjelaskan persyaratan dan formulir pendaftaran calon mahasiswa bar,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_14,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,14,"This document lists participant numbers for ""PRODI TEKNOLOGI LABORATORIUM MEDIS ",Dokumen ini berisi daftar Nomor Peserta cadangan untuk PRODI TEKNOLOGI LABORATOR,fixed
doc_176c9ee9-8d87-438e-bf23-58d9384e5cfd_3,3306 PENGUMUMAN HASIL SELEKSI TAHAP IV SPMB MANDIRI PROGRAM STUDI KEBIDANAN PROGRAM SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,3,"This document, dated June 3, 2026, from the Director of Politeknik Kesehatan Yog",Dokumen ini telah ditandatangani secara elektronik menggunakan sertifikat elektr,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_16,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,16,"This document, dated May 1, 2026, from Yogyakarta, lists participant numbers for",Dokumen ini berisi daftar nomor peserta untuk program studi Teknologi Laboratori,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_15,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,15,"This document, dated May 1, 2026, lists reserve participant numbers for the Appl",Dokumen ini berisi daftar cadangan untuk Program Sarjana Terapan di Politeknik K,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_7,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,7,"This document lists participant numbers for the ""PRODI REKAM MEDIS DAN INFORMASI",Daftar nomor peserta yang lulus utama untuk PRODI REKAM MEDIS DAN INFORMASI KESE,fixed
doc_12b4c818-c473-4226-80a0-60766aebbdb0_0,2436 PELAKSANAAN UJIAN CBT SPMB MANDIRI PROGRAM STUDI PROFESI POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 20262027 (GEL 2),0,The CBT exam for the Independent SPM,Pelaksanaan Ujian CBT Seleksi Penerimaan Mahasiswa Baru (SPMB) Mandiri Program S,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_13,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,13,"This document, dated May 1, 2026, contains lists of participant numbers for the ",Dokumen ini berisi daftar calon cadangan untuk Program Diploma Tiga di Politekni,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_10,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,10,This document lists 56 participant numbers for the Undergraduate Applied Nursing,Dokumen ini berisi daftar Nomor Peserta yang lulus utama untuk program Sarjana T,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_12,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,12,"This document lists participant numbers for ""PRODI TERAPI GIGI PROGRAM SARJANA T",Dokumen ini berisi daftar nomor peserta yang lulus utama untuk Program Studi Ter,fixed
doc_d53cdd48-fcba-4744-8460-81adc4e72d8c_6,2562 PENGUMUMAN TAHAP I SPMB BERSAMA TA 2026-2027,6,"This document, dated May 1, 2026, from Yogyakarta, lists participant numbers for",Dokumen ini berisi daftar Nomor Peserta untuk Program Studi Keperawatan Program ,fixed
doc_ca62ca5a-21a4-46e1-99e9-27367d7c6a53_2,2709 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,2,"This document, dated May 7, 2026, in Yogyakarta, contains electronically signed ",Dokumen ini berisi daftar nomor-nomor yang terkait dengan PROGRAM STUDI TEKNOLOG,fixed
doc_3877bace-f753-4e62-a5df-1a2f00f89ebc_1,HASIL SELEKSI TAHAP II (AKHIR) SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,1,This document outlines the registration process for new students at Politeknik K,Semua hasil uji kesehatan adalah hak panitia dan tidak dapat diambil kembali. Ap,fixed
doc_ca62ca5a-21a4-46e1-99e9-27367d7c6a53_3,2709 PENGUMUMAN HASIL SELEKSI SPMB TAHAP III JALUR MANDIRI (PASCA SANGGAH) PROGRAM STUDI SARJANA TERAPAN RPL POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,3,"This document chunk, dated May 7, 2026, from Yogyakarta, contains a ""Statement o","Dokumen ini berisi daftar nomor, pernyataan persetujuan hasil asesmen RPL untuk ",fixed
doc_3877bace-f753-4e62-a5df-1a2f00f89ebc_0,HASIL SELEKSI TAHAP II (AKHIR) SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,0,"This announcement, Nomor: ${nomor_naskah}, details the final selection results f",Pengumuman Nomor: ${nomor_naskah} ini menetapkan hasil seleksi tahap II (akhir) ,fixed
doc_4335d0b0-ec9c-473d-9a7d-63148ba911f7_1,2741 PENGUMUMAN HASIL SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) TAHAP II JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,1,This document contains appendices for the SPMB Mandiri Phase II announcement for,Dokumen ini berisi lampiran pengumuman tahap II SPMB Mandiri Prodi Pendidikan Pr,fixed
doc_279b5767-9c4f-4944-b2a8-f6d5c3584d7e_0,3357 PENGUMUMAN HASIL SELEKSI TAHAP II (AKHIR) CADANGAN 2 SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,"This announcement, Nomor ${nomor_naskah}, details the final selection results fo",Pengumuman Nomor ${nomor_naskah} ini berisi hasil seleksi tahap II (akhir) cadan,fixed
doc_4335d0b0-ec9c-473d-9a7d-63148ba911f7_0,2741 PENGUMUMAN HASIL SELEKSI PENERIMAAN MAHASISWA BARU (SPMB) TAHAP II JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,0,"This announcement, dated May 6, 2026, declares the results of the Phase II Indep",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi penerimaan mahasiswa ,fixed
doc_279b5767-9c4f-4944-b2a8-f6d5c3584d7e_1,3357 PENGUMUMAN HASIL SELEKSI TAHAP II (AKHIR) CADANGAN 2 SPMB BERSAMA PROGRAM STUDI DIPLOMA TIGA DAN SARJANA TERAPAN POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026-2027,1,"This document, dated June 4, 2026, from the Director of Politeknik Kesehatan Yog",Hak kesehatan adalah milik panitia dan tidak dapat diambil kembali. Apabila kuot,fixed
doc_c9f8c5cc-ed25-471a-81a0-2671ad2aa1fa_1,HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,1,This document outlines the re-registration process for new students at Politekni,Potensi suap atau gratifikasi dapat dilaporkan melalui HALO KEMENKES 1500567 dan,fixed
doc_c9f8c5cc-ed25-471a-81a0-2671ad2aa1fa_0,HASIL SELEKSI TAHAP III (AKHIR) SPMB JALUR MANDIRI PROGRAM STUDI PENDIDIKAN PROFESI GELOMBANG 2 POLTEKKES KEMENKES YOGYAKARTA TAHUN AKADEMIK 2026/2027,0,"This announcement, dated May 13, 2026, declares the final results for the Indepe",Pengumuman Nomor: ${nomor_naskah} ini berisi hasil seleksi tahap III (akhir) SPM,fixed
